card_id,name,supertype,subtypes,set_id,artist_id,rarity_id
ex6-6,Kangaskhan,Pokémon,Basic,ex6,284,34
sv4-141,Tatsugiri,Pokémon,Basic,sv4,322,29
dpp-DP02,Chimchar,Pokémon,Basic,dpp,162,38
bwp-BW19,Zoroark,Pokémon,Stage 1,bwp,76,38
xy11-77,Azumarill,Pokémon,Stage 1,xy11,351,29
swsh9-89,Spiritomb,Pokémon,Basic,swsh9,146,21
sv9-50,Togedemaru,Pokémon,Basic,sv9,97,21
sm7-86,Sneasel,Pokémon,Basic,sm7,116,21
sv8-179,Lisia's Appeal,Trainer,Supporter,sv8,,29
sm12-253,Blastoise & Piplup-GX,Pokémon,"Basic,TAG TEAM,GX",sm12,76,20
sv4pt5-40,Ceruledge,Pokémon,Stage 1,sv4pt5,196,2
sm12-52,Walrein,Pokémon,Stage 2,sm12,281,2
sm3-80,Marshadow-GX,Pokémon,"Basic,GX",sm3,76,10
dp3-99,Pidgey,Pokémon,Basic,dp3,372,21
sv4pt5-214,Espathra ex,Pokémon,"Stage 1,Tera,ex",sv4pt5,356,8
ex10-86,Mary's Request,Trainer,Supporter,ex10,116,29
ecard2-76,Exeggcute,Pokémon,Basic,ecard2,293,21
xy9-17,Golduck,Pokémon,Stage 1,xy9,108,2
bw3-63,Gurdurr,Pokémon,Stage 1,bw3,125,29
sm2-21,Alolan Vulpix,Pokémon,Basic,sm2,273,21
swsh7-223,Gordie,Trainer,Supporter,swsh7,75,20
xy6-47,Carbink,Pokémon,Basic,xy6,340,2
smp-SM17,Lunala-GX,Pokémon,"Stage 2,GX",smp,76,38
swsh6-163,Ice Rider Calyrex V,Pokémon,"Basic,V",swsh6,76,28
pl2-RT2,Frost Rotom,Pokémon,Basic,pl2,372,2
xy5-140,Silent Lab,Trainer,Stadium,xy5,232,29
sv1-66,Mareep,Pokémon,Basic,sv1,304,21
swsh35-11,Carvanha,Pokémon,Basic,swsh35,90,21
base6-88,Psyduck,Pokémon,Basic,base6,108,21
bw1-111,Darkness Energy,Energy,Basic,bw1,,21
ex15-17,Jynx δ,Pokémon,Basic,ex15,116,2
sv4pt5-241,Chi-Yu ex,Pokémon,"Basic,ex",sv4pt5,99,1
sm8-214,Whitney,Trainer,Supporter,sm8,351,28
ex16-90,Cyclone Energy,Energy,Special,ex16,176,29
swsh4-157,Nessa,Trainer,Supporter,swsh4,236,29
mcd11-2,Maractus,Pokémon,Basic,mcd11,162,13
swshp-SWSH139,Pikachu V-UNION,Pokémon,V-UNION,swshp,,38
bw5-102,Ultra Ball,Trainer,Item,bw5,76,29
gym1-38,Brock's Geodude,Pokémon,Basic,gym1,191,29
sv1-1,Pineco,Pokémon,Basic,sv1,90,21
bw11-50,Thundurus,Pokémon,Basic,bw11,293,34
ecard3-120,Relic Hunter,Trainer,Supporter,ecard3,162,29
ex15-44,Chikorita δ,Pokémon,Basic,ex15,43,21
bw6-50,Drifloon,Pokémon,Basic,bw6,112,21
neo3-36,Piloswine,Pokémon,Stage 1,neo3,191,29
swsh11tg-TG15,Centiskorch VMAX,Pokémon,VMAX,swsh11tg,145,25
sv6pt5-49,Persian,Pokémon,Stage 1,sv6pt5,,21
zsv10pt5-4,Pansage,Pokémon,Basic,zsv10pt5,346,21
pl3-97,Chimchar,Pokémon,Basic,pl3,117,21
sm3-45,Eelektrik,Pokémon,Stage 1,sm3,288,29
sm11-216,Heatran-GX,Pokémon,"Basic,GX",sm11,227,28
sm5-81,Magnemite,Pokémon,Basic,sm5,116,21
ex12-49,Bellsprout,Pokémon,Basic,ex12,198,21
g1-69,Pokémon Fan Club,Trainer,Supporter,g1,171,29
swsh10-100,Hisuian Samurott,Pokémon,Stage 2,swsh10,112,34
hgss1-42,Flaaffy,Pokémon,Stage 1,hgss1,117,29
sv8pt5-104,Ciphermaniac's Codebreaking,Trainer,"Supporter,Future",sv8pt5,,29
ex12-67,Trapinch,Pokémon,Basic,ex12,17,21
dp3-82,Charmander,Pokémon,Basic,dp3,117,21
sm10-57,Dedenne-GX,Pokémon,"Basic,GX",sm10,72,10
swsh5-113,Lickitung,Pokémon,Basic,swsh5,12,21
ex4-29,Team Aqua's Manectric,Pokémon,Stage 1,ex4,319,29
sm1-56,Crobat,Pokémon,Stage 2,sm1,235,34
hgss4-25,Lunatone,Pokémon,Basic,hgss4,112,2
swsh4-45,Voltorb,Pokémon,Basic,swsh4,333,21
ex13-25,Nosepass,Pokémon,Basic,ex13,162,2
sv8pt5-25,Glaceon,Pokémon,Stage 1,sv8pt5,,2
swsh10-129,Chatot,Pokémon,Basic,swsh10,317,21
svp-188,Scrafty,Pokémon,Stage 1,svp,371,38
sv1-176,Judge,Trainer,Supporter,sv1,37,29
ecard1-52,Magby,Pokémon,Baby,ecard1,108,2
ex3-25,Combusken,Pokémon,Stage 1,ex3,191,29
ex3-51,Barboach,Pokémon,Basic,ex3,17,21
base3-19,Dragonite,Pokémon,Stage 2,base3,162,2
me2-100,Zacian,Pokémon,Basic,me2,170,7
svp-31,Tinkaton ex,Pokémon,"Stage 2,ex",svp,356,38
swsh9-95,Morpeko V,Pokémon,"Basic,V",swsh9,336,16
base4-68,Caterpie,Pokémon,Basic,base4,116,21
base1-94,Potion,Trainer,,base1,307,21
hgss2-39,Pupitar,Pokémon,Stage 1,hgss2,112,29
xy11-103,Ninja Boy,Trainer,Supporter,xy11,184,29
swsh12-126,Cobalion,Pokémon,Basic,swsh12,317,2
sv7-77,Meditite,Pokémon,Basic,sv7,,21
swsh12pt5-123,Bea,Trainer,Supporter,swsh12pt5,233,34
xy1-116,Evosoda,Trainer,Item,xy1,76,29
swsh9-177,Cheren's Care,Trainer,Supporter,swsh9,66,20
base2-43,Primeape,Pokémon,Stage 1,base2,162,29
base5-47,Magikarp,Pokémon,Basic,base5,162,29
bw11-42,Seismitoad,Pokémon,Stage 2,bw11,163,2
swsh3-31,Fletchinder,Pokémon,Stage 1,swsh3,40,29
pl4-42,Haunter,Pokémon,Stage 1,pl4,108,29
swsh7-116,Kyurem,Pokémon,Basic,swsh7,224,34
swsh10-165,Heatran V,Pokémon,"Basic,V",swsh10,296,28
swsh45-71,Rose,Trainer,Supporter,swsh45,184,28
ex10-26,Hitmontop,Pokémon,Basic,ex10,294,2
bw9-84,Kingdra,Pokémon,Stage 2,bw9,284,34
bw9-117,Empoleon,Pokémon,Stage 2,bw9,281,27
bw3-47,Cofagrigus,Pokémon,Stage 1,bw3,317,2
xy2-95,Protection Cube,Trainer,Pokémon Tool,xy2,334,29
ex9-3,Exploud,Pokémon,Stage 2,ex9,163,34
neo2-43,Omastar,Pokémon,Stage 2,neo2,257,29
bw10-27,Tirtouga,Pokémon,Restored,bw10,198,29
sm11-157,Druddigon,Pokémon,Basic,sm11,134,21
sv6pt5-88,Janine's Secret Art,Trainer,Supporter,sv6pt5,,32
sm10-178,Lt. Surge's Strategy,Trainer,Supporter,sm10,184,29
ex2-34,Delcatty,Pokémon,Stage 1,ex2,198,29
ex6-92,Great Ball,Trainer,Item,ex6,240,29
base4-50,Magikarp,Pokémon,Basic,base4,108,29
bwp-BW53,Flygon,Pokémon,Stage 2,bwp,27,38
swsh7-155,Ribbon Badge,Trainer,"Item,Pokémon Tool",swsh7,296,29
gym1-98,Brock,Trainer,,gym1,116,2
sm1-1,Caterpie,Pokémon,Basic,sm1,194,21
dp7-88,Poké Blower +,Trainer,Item,dp7,232,29
bw7-24,Tepig,Pokémon,Basic,bw7,317,21
swsh45-54,Cramorant V,Pokémon,"Basic,V",swsh45,207,16
ex1-82,Energy Switch,Trainer,Item,ex1,347,29
sv4-202,Garganacl,Pokémon,Stage 2,sv4,183,7
cel25-8,Surfing Pikachu V,Pokémon,"Basic,V",cel25,207,16
sv2-101,Tinkatink,Pokémon,Basic,sv2,322,21
dp1-21,Carnivine,Pokémon,Basic,dp1,112,2
xy12-66,Rattata,Pokémon,Basic,xy12,108,21
sm2-68,Gliscor,Pokémon,Stage 1,sm2,355,29
dpp-DP03,Piplup,Pokémon,Basic,dpp,191,38
swsh12pt5gg-GG59,Colress's Experiment,Trainer,Supporter,swsh12pt5gg,91,28
swsh8-135,Geodude,Pokémon,Basic,swsh8,140,21
bp-8,Rocket's Mewtwo,Pokémon,Basic,bp,257,38
pl1-42,Cacturne,Pokémon,Stage 1,pl1,108,29
sv6-60,Palafin,Pokémon,Stage 1,sv6,303,29
base5-54,Drowzee,Pokémon,Basic,base5,162,21
swsh12pt5gg-GG57,Adaman,Trainer,Supporter,swsh12pt5gg,292,28
pl1-109,Looker's Investigation,Trainer,Supporter,pl1,116,29
swsh12pt5gg-GG42,Zeraora VMAX,Pokémon,VMAX,swsh12pt5gg,8,25
rsv10pt5-71,Druddigon,Pokémon,Basic,rsv10pt5,208,29
smp-SM161,Jirachi,Pokémon,Basic,smp,71,38
col1-6,Groudon,Pokémon,Basic,col1,232,34
sv3-47,Sharpedo,Pokémon,Stage 1,sv3,247,29
xy8-56,Stunfisk,Pokémon,Basic,xy8,292,29
sv1-82,Drowzee,Pokémon,Basic,sv1,140,21
swsh3-109,Zweilous,Pokémon,Stage 1,swsh3,223,29
dp1-11,Palkia,Pokémon,Basic,dp1,240,34
base1-88,Professor Oak,Trainer,,base1,116,29
zsv10pt5-66,Cobalion,Pokémon,Basic,zsv10pt5,315,2
sm9-13,Charmeleon,Pokémon,Stage 1,sm9,281,29
sv8-214,Braviary,Pokémon,Stage 1,sv8,,7
xy10-73,Kingdra-EX,Pokémon,"Basic,EX",xy10,134,33
hgss4-60,Cubone,Pokémon,Basic,hgss4,73,21
ecard1-100,Chikorita,Pokémon,Basic,ecard1,44,21
neo1-62,Horsea,Pokémon,Basic,neo1,189,21
swsh45-50,Ditto V,Pokémon,"Basic,V",swsh45,115,16
sm8-26,Beautifly,Pokémon,Stage 2,sm8,131,2
hgss3-75,Legend Box,Trainer,Item,hgss3,298,29
sv10-30,Rapidash,Pokémon,Stage 1,sv10,61,29
swsh6-177,Galarian Moltres V,Pokémon,"Basic,V",swsh6,322,28
bw3-5,Lilligant,Pokémon,Stage 1,bw3,340,2
swsh10-30,Starmie V,Pokémon,"Basic,V",swsh10,297,16
pl4-55,Buneary,Pokémon,Basic,pl4,254,21
swshp-SWSH189,Flapple,Pokémon,Stage 1,swshp,214,38
swsh10-97,Absol,Pokémon,Basic,swsh10,94,34
bw8-16,Monferno,Pokémon,Stage 1,bw8,117,29
swsh3-32,Talonflame,Pokémon,Stage 2,swsh3,73,2
sm7-77,Medicham,Pokémon,Stage 1,sm7,6,2
pl2-2,Bastiodon GL,Pokémon,"Basic,SP",pl2,163,34
bw11-87,Spiritomb,Pokémon,Basic,bw11,108,29
sma-SV80,Drampa-GX,Pokémon,"Basic,GX",sma,76,35
sv9-84,Rockruff,Pokémon,Basic,sv9,45,21
swsh10-191,Heatran VMAX,Pokémon,VMAX,swsh10,275,20
swsh5-108,Aegislash,Pokémon,Stage 2,swsh5,284,2
xyp-XY93,Celebi,Pokémon,Basic,xyp,317,38
dp7-70,Pikachu,Pokémon,Basic,dp7,163,21
swsh5-75,Conkeldurr,Pokémon,Stage 2,swsh5,189,2
xy5-93,Aggron-EX,Pokémon,"Basic,EX",xy5,297,33
sv2-114,Croagunk,Pokémon,Basic,sv2,73,21
col1-80,Lost Remover,Trainer,Item,col1,374,29
swsh12-184,Regidrago V,Pokémon,"Basic,V",swsh12,204,28
sm9-48,Galvantula,Pokémon,Stage 1,sm9,172,2
sv9-30,Reshiram ex,Pokémon,"Basic,ex",sv9,336,14
bw11-114,Reshiram,Pokémon,Basic,bw11,76,27
ex1-52,Electrike,Pokémon,Basic,ex1,116,21
rsv10pt5-127,Roggenrola,Pokémon,Basic,rsv10pt5,53,7
neo4-111,Shining Raichu,Pokémon,Basic,neo4,372,36
swsh7-172,Vaporeon V,Pokémon,"Basic,V,Rapid Strike",swsh7,76,28
pl2-48,Scizor E4,Pokémon,"Basic,SP",pl2,112,29
swsh6-156,Welcoming Lantern,Trainer,"Item,Single Strike",swsh6,296,29
sv10-203,Team Rocket's Meowth,Pokémon,Basic,sv10,160,7
swsh7-219,Duraludon VMAX,Pokémon,"VMAX,Single Strike",swsh7,336,20
sm11-40,Lumineon,Pokémon,Stage 1,sm11,333,29
swsh45-64,Alcremie V,Pokémon,"Basic,V",swsh45,281,28
sv10-166,Granite Cave,Trainer,Stadium,sv10,26,29
sv9-132,Greedent,Pokémon,Stage 1,sv9,245,29
base2-18,Electrode,Pokémon,Stage 1,base2,108,2
sm6-63,Croagunk,Pokémon,Basic,sm6,172,21
sv8pt5-40,Sylveon,Pokémon,Stage 1,sv8pt5,,2
swsh6-8,Celebi VMAX,Pokémon,VMAX,swsh6,70,25
sv4-37,Snorunt,Pokémon,Basic,sv4,103,21
ex15-99,Tyranitar ex δ,Pokémon,"Stage 2,ex",ex15,141,33
sm3-47,Togedemaru,Pokémon,Basic,sm3,112,21
ex4-46,Squirtle,Pokémon,Basic,ex4,116,21
xy4-108,Trick Coin,Trainer,Pokémon Tool,xy4,334,29
dp6-50,Castform Snow-Cloud Form,Pokémon,Basic,dp6,332,29
bw1-57,Reuniclus,Pokémon,Stage 2,bw1,76,34
bw8-12,Foongus,Pokémon,Basic,bw8,108,21
dp1-70,Bidoof,Pokémon,Basic,dp1,116,21
sm7-44,Luvdisc,Pokémon,Basic,sm7,165,21
hgss2-43,Aipom,Pokémon,Basic,hgss2,116,21
swsh6-204,Shadow Rider Calyrex VMAX,Pokémon,VMAX,swsh6,76,20
sv3pt5-42,Golbat,Pokémon,Stage 1,sv3pt5,104,29
sm8-114,Larvitar,Pokémon,Basic,sm8,6,21
swsh10-198,Origin Forme Dialga VSTAR,Pokémon,VSTAR,swsh10,76,20
sm75-75,Dragon Talon,Trainer,Pokémon Tool,sm75,334,27
bw3-2,Swadloon,Pokémon,Stage 1,bw3,198,29
sv3pt5-196,Erika's Invitation,Trainer,Supporter,sv3pt5,47,32
sm11-252,Karate Belt,Trainer,Pokémon Tool,sm11,355,27
dp7-75,Starly,Pokémon,Basic,dp7,191,21
xy5-63,Eelektrik,Pokémon,Stage 1,xy5,167,29
swshp-SWSH188,Bibarel,Pokémon,Stage 1,swshp,6,38
bw10-89,Silver Mirror,Trainer,Pokémon Tool,bw10,76,29
dp1-12,Rhyperior,Pokémon,Stage 2,dp1,240,34
base4-62,Tauros,Pokémon,Basic,base4,162,29
ex7-49,Skiploom,Pokémon,Stage 1,ex7,271,29
sm1-54,Zubat,Pokémon,Basic,sm1,290,21
ex7-69,Onix,Pokémon,Basic,ex7,191,21
sm1-115,Crushing Hammer,Trainer,Item,sm1,355,29
sv8-78,Uxie,Pokémon,Basic,sv8,,21
smp-SM87,Latias,Pokémon,Basic,smp,108,38
ecard3-65,Hoothoot,Pokémon,Basic,ecard3,89,21
xy5-145,Trevenant-EX,Pokémon,"Basic,EX",xy5,232,28
sv3pt5-128,Tauros,Pokémon,Basic,sv3pt5,360,29
xy1-35,Lapras,Pokémon,Basic,xy1,75,34
neo2-8,Politoed,Pokémon,Stage 2,neo2,17,34
dp4-85,Solrock,Pokémon,Basic,dp4,116,21
g1-57,Tauros,Pokémon,Basic,g1,162,2
sm6-76,Lycanroc,Pokémon,Stage 1,sm6,184,2
swsh9-119,Staraptor,Pokémon,Stage 2,swsh9,304,2
sv8-168,Colbur Berry,Trainer,Pokémon Tool,sv8,,29
bw1-110,Fighting Energy,Energy,Basic,bw1,,21
xy0-19,Pawniard,Pokémon,Basic,xy0,112,13
swsh45-73,Alcremie VMAX,Pokémon,VMAX,swsh45,76,20
xy6-52,Dragonite,Pokémon,Stage 2,xy6,134,34
swsh9-38,Buizel,Pokémon,Basic,swsh9,98,21
neo2-20,Espeon,Pokémon,Stage 1,neo2,284,2
svp-184,Hop's Snorlax,Pokémon,Basic,svp,140,38
hgss2-9,Sudowoodo,Pokémon,Basic,hgss2,34,34
bwp-BW08,Oshawott,Pokémon,Basic,bwp,108,38
bw9-27,Vanillite,Pokémon,Basic,bw9,340,21
sv8-201,Cetitan,Pokémon,Stage 1,sv8,,7
sm12-246,Excadrill,Pokémon,Stage 1,sm12,108,27
base2-44,Rapidash,Pokémon,Stage 1,base2,108,29
ecard1-91,Quilava,Pokémon,Stage 1,ecard1,93,29
swsh4-92,Terrakion,Pokémon,Basic,swsh4,81,2
swsh9-176,Arceus VSTAR,Pokémon,VSTAR,swsh9,76,20
swsh10-8,Heracross,Pokémon,Basic,swsh10,8,21
swsh2-33,Chandelure,Pokémon,Stage 2,swsh2,256,34
sv5-8,Roselia,Pokémon,Basic,sv5,344,21
sv2-28,Paldean Tauros,Pokémon,Basic,sv2,305,29
ex16-28,Charmeleon,Pokémon,Stage 1,ex16,198,29
base5-38,Dark Jolteon,Pokémon,Stage 1,base5,108,29
xy1-94,Swirlix,Pokémon,Basic,xy1,76,21
swsh12pt5-30,Galarian Mr. Mime,Pokémon,Basic,swsh12pt5,90,21
sv1-205,Clauncher,Pokémon,Basic,sv1,266,7
bw7-55,Chinchou,Pokémon,Basic,bw7,116,21
sm35-54,Yveltal,Pokémon,Basic,sm35,317,34
bw6-115,Rescue Scarf,Trainer,Pokémon Tool,bw6,232,29
sm3-42,Electabuzz,Pokémon,Basic,sm3,167,29
bw5-105,Raikou-EX,Pokémon,"Basic,EX",bw5,76,28
xy3-6,Shroomish,Pokémon,Basic,xy3,271,21
hgss3-46,Drifloon,Pokémon,Basic,hgss3,162,21
swshp-SWSH012,Morpeko,Pokémon,Basic,swshp,162,38
swsh8-122,Musharna,Pokémon,Stage 1,swsh8,98,29
sm8-20,Treecko,Pokémon,Basic,sm8,17,21
sm10-110,Carvanha,Pokémon,Basic,sm10,172,21
zsv10pt5-70,Haxorus,Pokémon,Stage 2,zsv10pt5,237,2
sv9-171,Volcanion ex,Pokémon,"Basic,ex",sv9,76,32
sm8-209,Judge,Trainer,Supporter,sm8,351,28
xy2-32,Shinx,Pokémon,Basic,xy2,351,21
xy10-58,Mandibuzz,Pokémon,Stage 1,xy10,117,2
hgss1-1,Arcanine,Pokémon,Stage 1,hgss1,292,34
swsh9-29,Kingler VMAX,Pokémon,VMAX,swsh9,76,25
neo1-44,Piloswine,Pokémon,Stage 1,neo1,116,29
ecard2-15,Houndoom,Pokémon,Stage 1,ecard2,163,2
sv6-177,Heliolisk,Pokémon,Stage 1,sv6,247,7
base4-113,PlusPower,Trainer,,base4,307,29
pl4-2,Froslass,Pokémon,Stage 1,pl4,142,34
ex11-47,Kirlia,Pokémon,Stage 1,ex11,198,29
bw3-89,Druddigon,Pokémon,Basic,bw3,117,2
swsh4-190,Aegislash VMAX,Pokémon,VMAX,swsh4,207,20
swsh10-74,Sudowoodo,Pokémon,Basic,swsh10,12,21
xy6-66,Fearow,Pokémon,Stage 1,xy6,290,29
rsv10pt5-116,Joltik,Pokémon,Basic,rsv10pt5,12,7
me1-126,Repel,Trainer,Item,me1,,29
sv4pt5-55,Gastly,Pokémon,Basic,sv4pt5,119,21
np-14,Latias,Pokémon,Basic,np,116,38
hsp-HGSS09,Typhlosion,Pokémon,"Stage 2,Prime",hsp,374,38
xy2-3,Butterfree,Pokémon,Stage 2,xy2,254,2
sm11-65,Eelektrik,Pokémon,Stage 1,sm11,198,29
dp2-32,Ninetales,Pokémon,Stage 1,dp2,112,2
neo2-35,Wobbuffet,Pokémon,Basic,neo2,372,2
sv6-124,Varoom,Pokémon,Basic,sv6,90,21
swsh45-61,Rusted Shield,Trainer,Pokémon Tool,swsh45,76,29
bw9-25,Palpitoad,Pokémon,Stage 1,bw9,117,29
sv5-210,Eri,Trainer,Supporter,sv5,260,5
sv5-69,Bronzong,Pokémon,Stage 1,sv5,138,29
ecard1-113,Houndour,Pokémon,Basic,ecard1,108,21
ex7-36,Dark Gyarados,Pokémon,Stage 1,ex7,240,29
sv5-191,Iron Crown ex,Pokémon,"Basic,ex,Future",sv5,76,32
dp7-1,Dusknoir,Pokémon,Stage 2,dp7,108,34
sm11-88,Munna,Pokémon,Basic,sm11,322,21
sm8-119,Alolan Persian,Pokémon,Stage 1,sm8,17,2
ecard2-H27,Togetic,Pokémon,Stage 1,ecard2,162,34
sv6-67,Luxio,Pokémon,Stage 1,sv6,279,21
bw10-74,Porygon-Z,Pokémon,"Stage 2,Team Plasma",bw10,76,34
bw5-18,Torkoal,Pokémon,Basic,bw5,117,29
sv8-137,Turtonator,Pokémon,Basic,sv8,,29
ex14-55,Lotad,Pokémon,Basic,ex14,308,21
ex16-17,Mawile,Pokémon,Basic,ex16,116,2
ex9-8,Milotic,Pokémon,Stage 1,ex9,162,34
base1-82,Full Heal,Trainer,,base1,307,29
sv4-45,Vanilluxe,Pokémon,Stage 2,sv4,300,29
sv7-129,Antique Cover Fossil,Trainer,Item,sv7,,21
ex11-41,Dragonair δ,Pokémon,Stage 1,ex11,163,29
sm7-130,Fisherman,Trainer,Supporter,sm7,117,29
pop8-16,Riolu,Pokémon,Basic,pop8,117,21
sm2-25,Politoed,Pokémon,Stage 2,sm2,332,34
ex11-91,Holon Farmer,Trainer,Supporter,ex11,112,29
pop3-1,Blastoise,Pokémon,Stage 2,pop3,108,2
swsh7-121,Appletun,Pokémon,Stage 1,swsh7,128,2
swsh45-66,Bird Keeper,Trainer,Supporter,swsh45,37,28
sm8-109,Onix,Pokémon,Basic,sm8,17,21
ex7-68,Marill,Pokémon,Basic,ex7,125,21
sm6-105,Diantha,Trainer,Supporter,sm6,116,34
sv8pt5-89,Hawlucha,Pokémon,Basic,sv8pt5,,29
sv3-202,Cleffa,Pokémon,Basic,sv3,12,7
bw4-11,Growlithe,Pokémon,Basic,bw4,71,21
ecard1-114,Koffing,Pokémon,Basic,ecard1,163,21
bw7-14,Cottonee,Pokémon,Basic,bw7,254,21
sv4-52,Wiglett,Pokémon,Basic,sv4,17,21
swsh3-191,Centiskorch VMAX,Pokémon,VMAX,swsh3,76,20
xy4-115,Malamar-EX,Pokémon,"Basic,EX",xy4,232,28
bw4-79,Wigglytuff,Pokémon,Stage 1,bw4,317,2
ex3-62,Magnemite,Pokémon,Basic,ex3,198,21
ex3-4,Flygon,Pokémon,Stage 2,ex3,108,34
sm9-100,Bronzor,Pokémon,Basic,sm9,116,21
hgss4-73,Porygon,Pokémon,Basic,hgss4,112,21
xy9-118,Darkrai-EX,Pokémon,"Basic,EX",xy9,232,28
sm12-31,Tepig,Pokémon,Basic,sm12,40,21
rsv10pt5-30,Keldeo ex,Pokémon,"Basic,ex",rsv10pt5,99,14
sm11-52,Pyukumuku,Pokémon,Basic,sm11,288,29
ecard2-92,Mankey,Pokémon,Basic,ecard2,17,21
swsh7-194,Rayquaza V,Pokémon,"Basic,V,Rapid Strike",swsh7,66,28
svp-173,Eevee,Pokémon,Basic,svp,168,38
hgss4-24,Kricketune,Pokémon,Stage 1,hgss4,17,2
sm4-38,Gengar,Pokémon,Stage 2,sm4,317,34
sv4-208,Steelix,Pokémon,Stage 1,sv4,122,7
me1-81,Stonjourner,Pokémon,Basic,me1,,29
basep-9,Mew,Pokémon,Basic,basep,116,38
ex9-98,Regice ex,Pokémon,"Basic,ex",ex9,136,33
swsh4-37,Galarian Darmanitan VMAX,Pokémon,VMAX,swsh4,76,25
sma-SV52,Turtonator-GX,Pokémon,"Basic,GX",sma,76,35
swsh9-37,Empoleon,Pokémon,Stage 2,swsh9,112,34
sv6pt5-78,Persian,Pokémon,Stage 1,sv6pt5,,7
swsh6-215,Flannery,Trainer,"Supporter,Single Strike",swsh6,66,20
bw1-26,Reshiram,Pokémon,Basic,bw1,76,34
sv10-244,Levincia,Trainer,Stadium,sv10,226,1
swsh8-204,Kangaskhan,Pokémon,"Basic,Rapid Strike",swsh8,224,2
bw11-13,Dwebble,Pokémon,Basic,bw11,254,21
sv7-119,Bouffalant,Pokémon,Basic,sv7,,2
swshp-SWSH164,Zacian V-UNION,Pokémon,V-UNION,swshp,70,38
xyp-XY48,Meowstic,Pokémon,Stage 1,xyp,215,38
ecard3-57,Gastly,Pokémon,Basic,ecard3,271,21
swsh12pt5-70,Baltoy,Pokémon,Basic,swsh12pt5,368,21
sv8pt5-138,Giacomo,Trainer,Supporter,sv8pt5,,32
xy1-41,Greninja,Pokémon,Stage 2,xy1,76,34
sm12-112,Armaldo,Pokémon,Stage 2,sm12,281,2
swsh45sv-SV095,Ducklett,Pokémon,Basic,swsh45sv,271,9
neo3-57,Swinub,Pokémon,Basic,neo3,189,21
sv5-164,Grotle,Pokémon,Stage 1,sv5,145,7
xy11-65,Yveltal,Pokémon,Basic,xy11,163,34
sm2-43,Helioptile,Pokémon,Basic,sm2,117,21
bw7-76,Gothorita,Pokémon,Stage 1,bw7,116,29
sv8-139,Flapple,Pokémon,Stage 1,sv8,,29
ex5-67,Minun,Pokémon,Basic,ex5,162,21
swsh9-90,Purrloin,Pokémon,Basic,swsh9,304,21
sm5-92,Morelull,Pokémon,Basic,sm5,198,21
sv10-178,Team Rocket's Transceiver,Trainer,Item,sv10,100,29
swshp-SWSH163,Zacian V-UNION,Pokémon,V-UNION,swshp,70,38
ex3-53,Corphish,Pokémon,Basic,ex3,162,21
xyp-XY201,Sharpedo Spirit Link,Trainer,Pokémon Tool,xyp,76,38
ex5-59,Cyndaquil,Pokémon,Basic,ex5,347,21
ex11-19,Azumarill δ,Pokémon,Stage 1,ex11,191,2
ex6-113,Charmander,Pokémon,Basic,ex6,116,27
swsh12pt5gg-GG55,Regigigas VSTAR,Pokémon,VSTAR,swsh12pt5gg,308,24
sv4-184,Dottler,Pokémon,Stage 1,sv4,63,7
sv4-237,Norman,Trainer,Supporter,sv4,37,32
sm4-59,Houndoom,Pokémon,Stage 1,sm4,317,2
swsh9-128,Drampa V,Pokémon,"Basic,V",swsh9,207,16
pl1-79,Lapras,Pokémon,Basic,pl1,108,21
swsh10-24,Quilava,Pokémon,Stage 1,swsh10,187,29
swsh6-122,Kecleon,Pokémon,"Basic,Rapid Strike",swsh6,88,2
sv10-29,Ponyta,Pokémon,Basic,sv10,231,21
xy7-65,Porygon2,Pokémon,Stage 1,xy7,267,29
bw10-5,Tropius,Pokémon,Basic,bw10,90,29
sm6-62,Garchomp,Pokémon,Stage 2,sm6,184,34
sv6-98,Sandslash,Pokémon,Stage 1,sv6,82,29
sm10-83,Sandshrew,Pokémon,Basic,sm10,333,21
np-15,Latios,Pokémon,Basic,np,116,38
me2-75,Archaludon,Pokémon,Stage 1,me2,378,29
pl1-92,Shuppet,Pokémon,Basic,pl1,271,21
sm4-88,Diggersby,Pokémon,Stage 1,sm4,277,29
bw10-86,Reversal Trigger,Trainer,"Pokémon Tool,Team Plasma",bw10,76,29
swsh3-71,Granbull,Pokémon,Stage 1,swsh3,172,2
mcd22-6,Lapras,Pokémon,Basic,mcd22,233,13
swshp-SWSH186,Lucario,Pokémon,Stage 1,swshp,81,38
sv1-245,Gardevoir ex,Pokémon,"Stage 2,ex",sv1,211,5
sv3-184,Oinkologne,Pokémon,Stage 1,sv3,340,29
bw10-43,Duosion,Pokémon,Stage 1,bw10,167,29
ex13-63,Corphish,Pokémon,Basic,ex13,198,21
sv8-138,Applin,Pokémon,Basic,sv8,,21
sv6-41,Poliwag,Pokémon,Basic,sv6,309,21
swsh2-65,Charjabug,Pokémon,Stage 1,swsh2,117,29
xy3-71,Clefable,Pokémon,Stage 1,xy3,191,29
pl1-74,Electrike,Pokémon,Basic,pl1,189,21
swshp-SWSH137,Light Toxtricity,Pokémon,Stage 1,swshp,284,38
ecard2-95,Mr. Mime,Pokémon,Basic,ecard2,293,21
base1-55,Nidoran ♂,Pokémon,Basic,base1,116,21
swsh10-132,Hisuian Braviary,Pokémon,Stage 1,swsh10,317,2
sm7-58,Swalot,Pokémon,Stage 1,sm7,43,29
smp-SM15,Zygarde,Pokémon,Basic,smp,73,38
